id;user_email;display_name;description;wpcf-category;wpcf-adresse;wpcf-lattitude;wpcf-longitude;wpcf-telephone-du-correspondant;wpcf-facebook_link;wpcf-hours-monday;wpcf-hours-tuesday;wpcf-hours-wednesday;wpcf-hours-thursday;wpcf-hours-friday;wpcf-hours-saturday;wpcf-hours-sunday
32;toulouse@aufut.fr;Au Fût et à Mesure;Une nouvelle expérience de dégustation de bières ludique, conviviale et décalée : prenez un verre, déposez votre carte devant l’une des tireuses installées et  servez vous au gré de vos envies !;bars_cafes;20 Rue Gabriel Peri, Toulouse;43.6058172;1.4524309999999332;05 62 80 70 93;https://www.facebook.com/aufut.toulouse/?fref=ts;17:00-2:00;17:00-2:00;17:00-2:00;17:00-2:00;17:00-2:00;17:00-3:00;17:00-1:00
25;atelier@aubaineapp.fr;L’atelier de l’écharpe;L’atelier de l'écharpe met à l’honneur une carte bistrotière finement repensée, composée de fringales à partager, cocktails et vins raffinés. L'ambiance contemporaine vous séduira !;bars_cafes,restauration;8 rue de l'Echarpe,  Toulouse;43.6001851;1.441422399999965;06 47 87 97 98;https://www.facebook.com/Latelier-de-Lecharpe-1493683047573289/;12:00-14:00 / 18:00-2:00;12:00-14:00 / 18:00-2:00;12:00-14:00 / 18:00-2:00;12:00-14:00 / 18:00-2:00;12:00-14:00 / 18:00-2:00;12:00-14:00 / 18:00-2:00;
97;contact@decomodesign.fr;L'appartement de Pénélope;Orchestré tel un logement, l'Appartement de Pénélope vous donnera envie de refaire votre intérieur ! Vous y trouverez des articles tendances pour toutes les pièces de la maison !;Se faire Dorlotter;19 Rue du Fourbastard, Toulouse;43.602528;1.4456973999999718;06 30 58 47 32;;14:00-19:00;11:00-19:00;11:00-19:00;11:00-19:00;11:00-19:00;11:00-19:00;
66;artcoiffure@aubaineapp.fr;Art Coiffure;Venez vous faire coiffeur chez Art et Coiffure, une équipe très agréable et toujours à l'écoute ! Dans ce salon, couper 2 cm c'est 2 cm, pas plus ! Vous pouvez leur faire confiance.;boutiques;10 Boulevard Maréchal Leclerc, Toulouse;43.6072462;1.4311278999999786;05 61 23 42 60;https://www.facebook.com/Art-et-Coiffure-177580425737784/;9:00-18:00;9:00-18:00;;9:00-18:00;9:00-18:00;9:00-18:00;
92;delphine.barthere@artdevivre.fr;Centre Art de Vivre;ONG à but éducatif et humanitaire, Art de Vivre a pour objectif d'améliorer votre qualité de la vie en mettant à disposition des techniques issues du yoga, destinées à nettoyer les effets du stress.;Se faire dorloter;4 rue de la Barutte, Toulouse;43.60308679978528;1.445278488099575;05 34 44 71 25;https://www.facebook.com/ArtdeVivreToulouse/;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;
96;sonia.mahdi@orange.fr;Jama Beauty - Art de Vivre;Découvrez les modelages Ayurvédiques ! C'est une forme de médecine traditionnelle originaire de l'Inde pour libérer notre énergie vitale... Un art de vivre indien en équilibre avec la nature.;Se faire dorloter;4 rue de la Barutte, Toulouse;43.60320010000001;1.4453065000000151;06 49 43 17 41;https://www.facebook.com/ArtdeVivreToulouse/;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;
62;Atypique@aubaineapp.fr;Atypique Concept Store;Comme son nom l'indique, Atypique est une boutique originale est pleine de charme ! Vos trouverez de jolies idées cadeaux : accessoires de mode, objets déco ... et autres trouvailles sympathiques !;boutiques;11 rue croix baragnon, Toulouse;43.5995535;1.4462035000000242;05 61 53 12 54;https://www.facebook.com/Atypique-Concept-Store-996802613692654/?fref=ts;14:00-19:00;10:00-12:00 / 14:00-19:00;10:00-12:00 / 14:00-19:00;10:00-12:00 / 14:00-19:00;10:00-12:00 / 14:00-19:00;10:00-12:00 / 14:00-19:00;
160;laloland31@gmail.com;Au Jardin des Thés;"Un ""tea time"" plus que gourmand, c'est ce que vous porpose le Jardin des Thés ! Un large choix de pâtisserie et de boissons chaudes pour se régaler ! Profitez-en aussi pour la pause déjeuner.";bars_cafes;16 place st georges;43.6026162;1.447707600000058;;;12:00-20:00;12:00-20:00;12:00-20:00;12:00-20:00;12:00-20:00;12:00-20:00;12:00-20:00
80;aupoildelabete@aubaineapp.fr;Au Poêle de la Bête;Découvrez le midi et le soir de délicieuses tapas et plats cuisinés uniquement à base de produits frais. 70 types de vin et bières vous sont proposés dans une ambiance rock and roll !;bars_cafes;56 rue d'Aubuisson, Toulouse;43.60272500000001;1.4543094000000565;05 34 26 92 84;https://www.facebook.com/poeledelabete/?fref=ts&__mref=message_bubble;7:00-2:00;7:00-2:00;7:00-2:00;7:00-2:00;7:00-2:00;17:00-3:00;7:30 / 15:00
78;autourdubain@aubaineapp.fr;Autour du Bain;Autour du bain vous propose toute sorte de savons gourmands ! Cupcakes, macarons, fleurs ... ces produits sont tous naturels et bons pour la peau, avec des senteurs exquises !;boutiques;11 rue Cantegril, Toulouse;43.6014683;1.4475473999999622;05 61 22 78 89;https://www.facebook.com/La-Suite-by-Metstiss%C3%A9s-410928072298268/?fref=ts;;10:30-13:00 / 14:00-19:00;10:30-13:00 / 14:00-19:00;10:30-13:00 / 14:00-19:00;10:30-13:00 / 14:00-19:00;10:30-19:00;
